project,category,file_name,extension,relative_path,full_path,size_bytes,modified,matched_by,discipline,pages_or_sheets,extract_status,text_chars,keywords,summary,risks
2022,02-工程量与计价,1#综合楼二层屋面天沟板钢筋下料表.xls,.xls,2022\青河G331项目\02-工程量与计价\1#综合楼二层屋面天沟板钢筋下料表.xls,D:\高治国资料\2022\青河G331项目\02-工程量与计价\1#综合楼二层屋面天沟板钢筋下料表.xls,56320,2026-06-11 18:17:47,filename,房建结构,,metadata-only,0,下料表、钢筋,1#综合楼二层屋面天沟板钢筋下料表,missing_text
2022,02-工程量与计价,1#综合楼二层屋面框梁钢筋下料表.xls,.xls,2022\青河G331项目\02-工程量与计价\1#综合楼二层屋面框梁钢筋下料表.xls,D:\高治国资料\2022\青河G331项目\02-工程量与计价\1#综合楼二层屋面框梁钢筋下料表.xls,3253760,2026-06-11 18:17:47,filename,房建结构,,metadata-only,0,下料表、钢筋,1#综合楼二层屋面框梁钢筋下料表,missing_text
2022,02-工程量与计价,1#综合楼二层框柱、三层框柱钢筋下料表.xls,.xls,2022\青河G331项目\02-工程量与计价\1#综合楼二层框柱、三层框柱钢筋下料表.xls,D:\高治国资料\2022\青河G331项目\02-工程量与计价\1#综合楼二层框柱、三层框柱钢筋下料表.xls,213504,2026-06-11 18:17:47,filename,房建结构,,metadata-only,0,下料表、钢筋,1#综合楼二层框柱、三层框柱钢筋下料表,missing_text
2022,02-工程量与计价,1#综合楼屋面老虎窗钢筋下料表.xls,.xls,2022\青河G331项目\02-工程量与计价\1#综合楼屋面老虎窗钢筋下料表.xls,D:\高治国资料\2022\青河G331项目\02-工程量与计价\1#综合楼屋面老虎窗钢筋下料表.xls,735232,2026-06-11 18:17:47,filename,房建结构,,metadata-only,0,下料表、钢筋,1#综合楼屋面老虎窗钢筋下料表,missing_text
2022,02-工程量与计价,1#综合楼挑高层天沟板钢筋下料表.xls,.xls,2022\青河G331项目\02-工程量与计价\1#综合楼挑高层天沟板钢筋下料表.xls,D:\高治国资料\2022\青河G331项目\02-工程量与计价\1#综合楼挑高层天沟板钢筋下料表.xls,52224,2026-06-11 18:17:47,filename,房建结构,,metadata-only,0,下料表、钢筋,1#综合楼挑高层天沟板钢筋下料表,missing_text
2022,02-工程量与计价,1#综合楼挑高层天沟钢筋下料表.xls,.xls,2022\青河G331项目\02-工程量与计价\1#综合楼挑高层天沟钢筋下料表.xls,D:\高治国资料\2022\青河G331项目\02-工程量与计价\1#综合楼挑高层天沟钢筋下料表.xls,61440,2026-06-11 18:17:47,filename,房建结构,,metadata-only,0,下料表、钢筋,1#综合楼挑高层天沟钢筋下料表,missing_text
2022,02-工程量与计价,1#综合楼挑高层屋面框梁钢筋下料表.xls,.xls,2022\青河G331项目\02-工程量与计价\1#综合楼挑高层屋面框梁钢筋下料表.xls,D:\高治国资料\2022\青河G331项目\02-工程量与计价\1#综合楼挑高层屋面框梁钢筋下料表.xls,3640832,2026-06-11 18:17:48,filename,房建结构,,metadata-only,0,下料表、钢筋,1#综合楼挑高层屋面框梁钢筋下料表,missing_text
2022,02-工程量与计价,1#综合楼楼梯钢筋下料表.xlsx,.xlsx,2022\青河G331项目\02-工程量与计价\1#综合楼楼梯钢筋下料表.xlsx,D:\高治国资料\2022\青河G331项目\02-工程量与计价\1#综合楼楼梯钢筋下料表.xlsx,22514,2026-06-11 18:17:48,filename,房建结构,1,text-extracted,1082,下料表、钢筋,工作表: Sheet1 [Sheet1] 楼层名称：1#综合楼楼梯钢筋 | 楼层名称：基础层（表格算量） | 楼层名称：基础层（表格算量） | 楼层名称：基础层（表格算量） | 钢筋总重：194.472Kg | 钢筋总重：194.472Kg | 钢筋总重：194.472Kg | 钢筋总重：194.472Kg 筋号 | 级别 | 直径 | 钢筋图形 | 计算公式 | 根数 | 总根数 | 单长m | 总长m | 总重kg 构件名称：构件1 | 构件名称：构件1 | 构件名称：构件1 | 构件数量：4 | 本构件钢筋重：48.618Kg | 本构件钢筋重：48.618Kg | 本构件钢筋重：48.618Kg | 本构件钢筋重：48.61...,
2022,02-工程量与计价,1#综合楼钢筋明细下料表2024.9.9.pdf,.pdf,2022\青河G331项目\02-工程量与计价\1#综合楼钢筋明细下料表2024.9.9.pdf,D:\高治国资料\2022\青河G331项目\02-工程量与计价\1#综合楼钢筋明细下料表2024.9.9.pdf,7244631,2026-06-11 18:17:49,filename,房建结构,,metadata-only: PyMuPDF unavailable,0,下料表、钢筋,1#综合楼钢筋明细下料表2024.9.9,missing_text
2022,02-工程量与计价,1#综合楼钢筋明细下料表2024.9.9.xls,.xls,2022\青河G331项目\02-工程量与计价\1#综合楼钢筋明细下料表2024.9.9.xls,D:\高治国资料\2022\青河G331项目\02-工程量与计价\1#综合楼钢筋明细下料表2024.9.9.xls,9145856,2026-06-11 18:17:50,filename,房建结构,,metadata-only,0,下料表、钢筋,1#综合楼钢筋明细下料表2024.9.9,missing_text
2022,02-工程量与计价,1#综合楼钢筋统计汇总表2024-09-09.xls,.xls,2022\青河G331项目\02-工程量与计价\1#综合楼钢筋统计汇总表2024-09-09.xls,D:\高治国资料\2022\青河G331项目\02-工程量与计价\1#综合楼钢筋统计汇总表2024-09-09.xls,32768,2026-06-11 18:17:50,filename,房建结构,,metadata-only,0,钢筋,1#综合楼钢筋统计汇总表2024-09-09,missing_text
2022,02-工程量与计价,1#综合楼首层框柱钢筋下料表.xls,.xls,2022\青河G331项目\02-工程量与计价\1#综合楼首层框柱钢筋下料表.xls,D:\高治国资料\2022\青河G331项目\02-工程量与计价\1#综合楼首层框柱钢筋下料表.xls,326144,2026-06-11 18:17:50,filename,房建结构,,metadata-only,0,下料表、钢筋,1#综合楼首层框柱钢筋下料表,missing_text
2022,02-工程量与计价,2#机械库14#钢筋下料明细表.xls,.xls,2022\青河G331项目\02-工程量与计价\2#机械库14#钢筋下料明细表.xls,D:\高治国资料\2022\青河G331项目\02-工程量与计价\2#机械库14#钢筋下料明细表.xls,3367936,2026-06-11 18:18:04,filename,房建结构,,metadata-only,0,钢筋,2#机械库14#钢筋下料明细表,missing_text
2022,02-工程量与计价,2#机械库18#钢筋下料明细表.xls,.xls,2022\青河G331项目\02-工程量与计价\2#机械库18#钢筋下料明细表.xls,D:\高治国资料\2022\青河G331项目\02-工程量与计价\2#机械库18#钢筋下料明细表.xls,3368448,2026-06-11 18:18:04,filename,房建结构,,metadata-only,0,钢筋,2#机械库18#钢筋下料明细表,missing_text
2022,02-工程量与计价,2#机械库钢筋下料明细表2024-09-09.pdf,.pdf,2022\青河G331项目\02-工程量与计价\2#机械库钢筋下料明细表2024-09-09.pdf,D:\高治国资料\2022\青河G331项目\02-工程量与计价\2#机械库钢筋下料明细表2024-09-09.pdf,2483749,2026-06-11 18:18:05,filename,房建结构,,metadata-only: PyMuPDF unavailable,0,钢筋,2#机械库钢筋下料明细表2024-09-09,missing_text
2022,02-工程量与计价,2#机械库钢筋下料明细表2024-09-09.xls,.xls,2022\青河G331项目\02-工程量与计价\2#机械库钢筋下料明细表2024-09-09.xls,D:\高治国资料\2022\青河G331项目\02-工程量与计价\2#机械库钢筋下料明细表2024-09-09.xls,7961088,2026-06-11 18:18:06,filename,房建结构,,metadata-only,0,钢筋,2#机械库钢筋下料明细表2024-09-09,missing_text
2022,02-工程量与计价,2#机械库钢筋统计汇总表2024-09-09.xls,.xls,2022\青河G331项目\02-工程量与计价\2#机械库钢筋统计汇总表2024-09-09.xls,D:\高治国资料\2022\青河G331项目\02-工程量与计价\2#机械库钢筋统计汇总表2024-09-09.xls,20480,2026-06-11 18:18:06,filename,未判定,,metadata-only,0,钢筋,2#机械库钢筋统计汇总表2024-09-09,missing_text
