房建工程劳务分包/专业分包指导价									
项	序号	编号	细目名称	单位	指导价（元）		费用组成（采用反向描述的方式，列举出所有甲方承担的费用，除此以外的全部费用由乙方承担，费用包含在单价中）	计量规则	工作内容
					单价	调价	甲方提供材料及机械、设备等		
一			建筑工程						
	01		钢筋砼工程						
		001	钢筋工程	㎡（建筑面积）	50.0		图纸设计范围内施工用钢筋	根据设计按实际完成工程量计算	所有钢筋进场吊运、卸车转运、堆码配料、翻样加工、各类焊接、电渣压力焊、绑扎连接、直螺纹刻丝连接，止水钢板焊接及安装，水泥撑和垫块安装，配合安装工程预留预埋，配合钢筋试验所需的钢筋试件制作及装卸，桩头钢筋调直并焊接，废料钢筋的整理回收，浇筑砼时钢筋的看护整修，其他所有预埋铁件加工、焊接及安装，具体施工技术标准及质量要求见项目部下发施工图纸及技术交底
		002	钢筋工程	t	800.0		塔吊、直螺纹套筒、钢筋、止水钢板、预埋铁件、橡胶止水带、止水条	根据设计按实际完成工程量计算	所有钢筋进场吊运、卸车转运、堆码配料、翻样加工、各类焊接、电渣压力焊、绑扎连接、直螺纹刻丝连接，止水钢板焊接及安装，水泥撑和垫块安装，配合安装工程预留预埋，配合钢筋试验所需的钢筋试件制作及装卸，桩头钢筋调直并焊接，废料钢筋的整理回收，浇筑砼时钢筋的看护整修，其他所有预埋铁件加工、焊接及安装，具体施工技术标准及质量要求见项目部下发施工图纸及技术交底
		003	混凝土工程	㎡（建筑面积）	25.0		基础及主体施工用混凝土	根据设计按实际完成工程量计算	浇筑设备的安装、清洗、维护、保管；混凝土的运输、浇筑、找平、抹面、养护、清理、剔凿、维修、后浇带保护、砼试块制作及装卸，截（凿）桩头 ，具体施工技术标准及质量要求见项目部下发施工图纸及技术交底
		004	混凝土工程	m3	45.0		基础及主体施工用混凝土	根据设计按实际完成工程量计算	浇筑设备的安装、清洗、维护、保管；混凝土的运输、浇筑、找平、抹面、养护、清理、剔凿、维修、后浇带保护、砼试块制作及装卸，截（凿）桩头 ，具体施工技术标准及质量要求见项目部下发施工图纸及技术交底
		005	PC构件安装	m3	410.0		PC构件、灌浆料、塔吊	根据设计按实际完成工程量计算	卸车、PC构件连接钢筋预埋、安装、灌浆，楼梯等构件的成品保护，具体施工技术标准及质量要求见项目部下发施工图纸及技术交底
	02		砌体及二次构件工程						
		001	砖胎模砌筑	m3	280.0		砖、水泥、石子、砂、施工用水及主管道	根据设计按实际完成工程量计算	基础桩承台、筏板基础及地梁砖胎膜砌筑。
		002	砌筑工程	m3	260.0		砌块、粘结剂、拉结筋、砂浆。	根据设计按实际完成工程量计算	1、砌筑砂浆制作、运输
2、砌块运输和砌筑
3、砌体内加筋制作和安装
4、勾缝
除以上4项具体内容外，包括从材料场内运输直至按图纸完成砌筑工程过程中所有的工作内容。
		003	构造柱、腰梁、过梁、止水坎、门槛(含模板、钢筋、砼)	m	45.0		钢筋、水泥、砂、混凝土、方木、模板	根据设计按实际完成工程量计算	包括但不限于主楼及地下车库二次结构的砼、模板制作及安装工程、钢筋加工、绑扎及植筋工程（包括但不限于圈梁、过梁（≥300mm洞口）、构造柱、窗台压顶、止水翻沿、腰梁等所有二次结构）、细部放线、电梯机房及电梯基座、架机梁洞口封堵与混凝土浇筑（包含电梯预留洞及门洞止水台施工）、阳台立管止水台封堵等，具体施工技术标准及质量要求见项目部下发施工图纸及技术交底。
		004	二次结构混凝土(含模板、钢筋、砼)	m³	1000.0		钢筋、预埋铁件、混凝土、方木、模板	根据设计按实际完成工程量计算	包括但不限于主楼及地下车库二次结构的砼、模板制作及安装工程、钢筋加工、绑扎及植筋工程（包括但不限于圈梁、过梁（≥300mm洞口）、构造柱、窗台压顶、止水翻沿、腰梁等所有二次结构）、细部放线、电梯机房及电梯基座、架机梁洞口封堵与混凝土浇筑（包含电梯预留洞及门洞止水台施工）、阳台立管止水台封堵等，具体施工技术标准及质量要求见项目部下发施工图纸及技术交底。
		005	植筋工程直径10mm以内	根	1.0		钢筋	根据设计按实际完成工程量计算	植筋工艺标准要求全部内容，含验收、脚手架，综合单价，包括c10本身，包工料，不含钢筋。
		006	植筋工程直径10mm以上	根	2.5		钢筋	根据设计按实际完成工程量计算	植筋工艺标准要求全部内容，含验收、脚手架，综合单价，不包括c10本身，包工料，不含钢筋
	03		屋面及防水工程						
		001	单层SBS改性沥青
防水卷材	m2	10.0		防水卷材、塔吊及塔司	根据设计按实际完成工程量计算	所有防水卷材进场的卸车、转运（场内防水材料的水平运输和垂直运输）、堆放；基层清理，刷基层处理剂，铺贴附加层，铺贴卷材（热熔接缝），防水层铺贴层数；桩头渗透结晶及止水环防水处理；闭水试验。
		002	双层SBS改性沥青
防水卷材	m2	15.0		防水卷材、塔吊及塔司	根据设计按实际完成工程量计算	所有防水卷材进场的卸车、转运（场内防水材料的水平运输和垂直运输）、堆放；基层清理，刷基层处理剂，铺贴附加层，铺贴卷材（热熔接缝），防水层铺贴层数；桩头渗透结晶及止水环防水处理；闭水试验。
		003	单层4厚SBS改性沥青
