项目	直接费合计(元)	人工费(元)	材料/主材费(元)	机械费(元)	来源
土建工程	145784550.84	43735366.48	80181503.48	21867683.64	新疆启创_直接费人材机报价表.xlsx-人材机汇总
安装工程	47548673.56	14264604.44	26151770.76	7132302.04	新疆启创_直接费人材机报价表.xlsx-人材机汇总
合计	193333224.4	57999970.92	106333274.24	28999985.68	土建+安装
