公路、市政工程劳务分包/专业分包指导价												
项	序号	编号	细目名称	单位	指导价（元）		费用组成（采用反向描述的方式，列举出所有甲方承担的费用，除此以外的全部费用由乙方承担，费用包含在单价中）				计量规则	工作内容
					单价	调价	甲方提供材料及限额损耗率	甲方提供的周转材料	甲方提供的机械、设备费	施工措施等其它费用		
一			路基工程									
		007	碎石桩（桩径0.5m)	m	14.0	/	甲方提供碎石	/	/		按设计图示尺寸以桩长计算	安、拆振冲器，振冲、填碎石，疏导泥浆，场内临时道路维护
		008	碎石桩（桩径0.6m)	m	15.0	/	甲方提供碎石	/	/		按设计图示尺寸以桩长计算	安、拆振冲器，振冲、填碎石，疏导泥浆，场内临时道路维护
		009	φ0.4mCFG桩(长螺旋钻孔，网电)	m	14.0	/	甲方提供砼、损耗率1%以内	/	/		按设计图示桩顶至桩底的长度计算	清理场地、整平；测量放线、钻机就位；准备钻具、钻孔；砼灌注（含泵送费）、提管移位、凿桩头及操作范围内料具搬运
		010	φ0.4mCFG桩(长螺旋钻孔，自发电)	m	16.0	/	甲方提供砼、损耗率1%以内	/	/		按设计图示桩顶至桩底的长度计算	清理场地、整平；测量放线、钻机就位；准备钻具、钻孔；砼灌注（含泵送费）、提管移位、凿桩头及操作范围内料具搬运
		011	φ0.5mCFG桩(长螺旋钻孔，网电)	m	16.0	/	甲方提供砼、损耗率1%以内	/	/		按设计图示桩顶至桩底的长度计算	清理场地、整平；测量放线、钻机就位；准备钻具、钻孔；砼灌注（含泵送费）、提管移位、凿桩头及操作范围内料具搬运
		012	φ0.5mCFG桩(长螺旋钻孔，自发电)	m	18.0	/	甲方提供砼、损耗率1%以内	/	/		按设计图示桩顶至桩底的长度计算	清理场地、整平；测量放线、钻机就位；准备钻具、钻孔；砼灌注（含泵送费）、提管移位、凿桩头及操作范围内料具搬运
		013	CFG桩桩帽	m3	130.0	/	甲方提供砼、损耗率1%以内	/	/		按实际数量计算	挖除桩间土，模板安拆，加固，涂脱模剂，人工配合浇筑砼，洒水养生等全部工序。
		014	CFG破桩头	个	15.0	/	/	/	/		按设计数量计算	破除桩头砼，配合桩检
		015	土工织物、格栅网	m²	0.8	/	甲方提供土工材料	/	/		按实际铺设断面计算	土工布保管、剪裁、铺设、固定等相关工作内容
		016	填筑水泥改良土（厂拌，运1KM）	m3	12.5	/	甲方提供水泥，损耗率0%	/	/		按照设计图示压实断面尺寸计算	集中拌和、运输；分层摊平，压实，精平，修整边坡，取水洒水，养护等全部工作内容
		017	挖装运填筑水泥改良土（路拌机路拌，运1KM）	m3	13.0	/		/	/		按照设计图示压实断面尺寸计算	土源挖、装、运、堆码；现场机械拌和；分层摊平，压实，精平，修整边坡，取水洒水，养护等全部工作内容
		018	填筑石灰改良土（厂拌，运1KM）	m3	12.5	/	甲方提供石灰，损耗率0%	/	/		按照设计图示压实断面尺寸计算	灰消解、焖灰、取水洒水、集中拌和、运输；分层摊平，压实，精平，修整边坡，养护等全部工作内容
		019	挖装运填筑石灰改良土（路拌机路拌，运1KM）	m3	13.0	/		/	/		按照设计图示压实断面尺寸计算	土源挖、装、运、堆码；石灰消解、焖灰、取水洒水、现场机械拌和；分层摊平，压实，精平，修整边坡，养护等全部工作内容
		020	冲击碾压（碾压20遍）	m2	2.0	/	/	/	/		按照实际需要处理的投影面积计量	机械就位及移位、按技术交底规定进行碾压至满足设计要求（至少碾压20遍）、碾压后配合检测、机械进退场等全部工作内容
		021	强夯（夯击6遍）	m2	10.0	/	/	/	/		按照实际需要处理的投影面积计量	夯机就位及移位、按技术交底规定进行夯击至满足设计要求（至少夯击6遍）、夯击后配合检测、测设夯点、夯机进退场等全部工作内容
		022	重锤夯实（夯击6遍）	m2	7.0	/	/	/	/		按照实际需要处理的投影面积计量	夯机就位及移位、按技术交底规定进行夯击至满足设计要求（至少夯击6遍）、夯击后配合检测、测设夯点、夯机进退场等等全部工作内容
		023	抛填片石	m3	8.0	/	甲方提供片石	/	/		按实际方量	人工配合机械抛填片石,整平,碾压等全部工作内容
		024	湿喷桩（0.5m桩径)/自发电	m	10.5	/	甲方提供水泥	/	/		按设计图示尺寸以桩长计算	机械进出场、材料场地内运输、桩机按拆就位、放样定位、钻进、调制水泥浆、输送压浆、搅拌提升、重复喷浆钻进搅拌、重复搅拌提升、成桩完毕、移位、清理工作面、防护、配合桩检等全部工作内容
		025	湿喷桩（0.5m桩径)/网电	m	9.0	/	甲方提供水泥	/	/		按设计图示尺寸以桩长计算	机械进出场、材料场地内运输、桩机按拆就位、放样定位、钻进、调制水泥浆、输送压浆、搅拌提升、重复喷浆钻进搅拌、重复搅拌提升、成桩完毕、移位、清理工作面、防护、配合桩检等全部工作内容
		026	框架锚杆施工	m	70.0	/	甲方提供锚杆、损耗率1%以内；灌浆材料	/	/		按照实际施工长度计算	搭、拆脚手架及平台，钻孔、灌浆、安装锚杆，封锚等全部工作内容
		027	框架梁砼	m3	450.0	/	甲方提供砼、损耗率1%以内	/	/		按照设计图示尺寸计算	备料,施作找平层，挖槽，模板及支撑制安、拆，砼水平及垂直内运输、浇注、捣固、养护等全部工作内容
		028	框架梁钢筋制安	t	550.0	/	甲方提供钢筋、损耗率1%以内	/	/		按设计或变更设计图纸的净长、规格换算的重量进行计量，所有搭接、下脚料、定位钢筋、预埋件及冷却管均不予计量。钢筋边脚料所有权归甲方。	钢筋去污除锈、制作、绑扎、焊接并经验收合格,制作安装保护层水泥垫块等全部工作内容
		029	预应力锚索φ≤49mm	m	35.0	/	甲方提供锚索、锚具，损耗率0%；混凝土，损耗率1%	/	/		按设计图示尺寸以米计算	脚手架搭拆；钻孔、清孔；锚索、锚具制安；砂浆配料(含外加剂)、拌制、锚固段注浆；锚墩混凝土浇筑；锚索张拉，张拉段注浆，锚头封闭防护；防腐处理等全部工作内容
		030	预应力锚索49＜φ＜130mm	m	85.0	/	甲方提供锚索、锚具，损耗率0%；混凝土，损耗率1%	/	/		按设计图示尺寸以米计算	脚手架搭拆；钻孔、清孔；锚索、锚具制安；砂浆配料(含外加剂)、拌制、锚固段注浆；锚墩混凝土浇筑；锚索张拉，张拉段注浆，锚头封闭防护；防腐处理等全部工作内容
