公路、市政工程劳务分包/专业分包指导价												
项	序号	编号	细目名称	单位	指导价（元）		费用组成（采用反向描述的方式，列举出所有甲方承担的费用，除此以外的全部费用由乙方承担，费用包含在单价中）				计量规则	工作内容
					单价	调价	甲方提供材料及限额损耗率	甲方提供的周转材料	甲方提供的机械、设备费	施工措施等其它费用		
一			路基工程									
		001	Φ200管道铺设	m	6.3989168302461	/	甲方提供管材	/	/	/	按设计图纸计算	管道场内运输、下管、调直、铺设
		002	Φ300管道铺设	m	7.46540296862045	/	同上	/	/	/	同上	同上
		003	Φ400管道铺设	m	10.6648613837435	/	同上	/	/	/	同上	同上
		004	Φ500管道铺设	m	15.9972920756153	/	同上	/	/	/	同上	同上
		005	Φ600管道铺设	m	15.9972920756153	/	同上	/	/	/	同上	同上
		006	Φ800管道铺设	m	17.0637782139896	/	同上	/	/	/	同上	同上
		007	Φ1000管道铺设	m	19.1967504907383	/	同上	/	/	/	同上	同上
		008	Φ1200管道铺设	m	25.5956673209844	/	同上	/	/	/	同上	同上
		009	Φ1500管道铺设	m	31.9945841512305	/	同上	/	/	/	同上	同上
		010	Φ1600管道铺设	m	42.659445534974	/	同上	/	/	/	同上	同上
		011	Φ1800管道铺设	m	53.3243069187175	/	同上	/	/	/	同上	同上
		012	Φ2000管道铺设	m	74.6540296862045	/	同上	/	/	/	同上	同上
	07		PE管道铺设									
		001	Φ400PE管道铺设（电热熔连接）	m	23.4626950442357	/	甲方提供管材	/	/	/	按设计图纸计算	围挡安拆、人工清底、修整边坡、沟槽支护、挂线、清扫基座、地下管线保护（含人工挖探坑）、10cm中粗砂垫层铺筑、成品管场内运输、下管、铺管、管口连接及管缝处理、闭水试验、配合甲方做好检测等
		002	Φ500PE管道铺设（电热熔连接）	m	25.5956673209844	/	同上	/	/	/	同上	同上
		003	Φ600PE管道铺设（电热熔连接）	m	27.7286395977331	/	同上	/	/	/	同上	同上
	08		钢管铺设									
		001	Φ50钢管铺设(焊接)	m	7.46540296862045	/	甲方提供钢管	/	/	/	按设计图纸计算	检查及清扫管材，切管、坡口、调直，对口、焊接，管道及管件安装，管道除锈刷油，管道消毒清洗，水压实验。
		002	φ100钢管铺设(焊接)	m	8.53188910699481	/	同上	/	/	/	同上	同上
		003	Φ150钢管铺设(焊接)	m	10.6648613837435	/	同上	/	/	/	同上	同上
		004	Φ200钢管铺设(焊接)	m	26.6621534593588	/	同上	/	/	/	同上	同上
		005	Φ300钢管铺设(焊接)	m	37.3270148431023	/	同上	/	/	/	同上	同上
		006	Φ400钢管铺设(焊接)	m	53.3243069187175	/	同上	/	/	/	同上	同上
		007	Φ500钢管铺设(焊接)	m	60.789709887338	/	同上	/	/	/	同上	同上
		008	Φ600钢管铺设(焊接)	m	66.1221405792097	/	同上	/	/	/	同上	同上
		009	Φ700钢管铺设(焊接)	m	79.9864603780763	/	同上	/	/	/	同上	同上
		010	Φ800钢管铺设(焊接)	m	85.3188910699481	/	同上	/	/	/	同上	同上
		011	Φ900钢管铺设(焊接)	m	116.246989082804	/	同上	/	/	/	同上	同上
		012	Φ1000钢管铺设(焊接)	m	133.310767296794	/	同上	/	/	/	同上	同上
		013	Φ1400钢管铺设(焊接)	m	191.967504907383	/	同上	/	/	/	同上	同上
		014	Φ1500钢管铺设(焊接)	m	202.632366291127	/	同上	/	/	/	同上	同上
		015	Φ1600钢管铺设(焊接)	m	223.962089058614	/	同上	/	/	/	同上	同上
		016	Φ2000钢管铺设(焊接)	m	341.275564279792	/	同上	/	/	/	同上	同上
		017	Φ2400钢管铺设(焊接)	m	447.924178117227	/	同上	/	/	/	同上	同上
		018	Φ200管件安装(焊接)	个	145.042114818912	/	同上	/	/	/	按实际完成合格工程数量计量	场内运输，安装，试压
		019	Φ300管件安装(焊接)	个	202.632366291127	/	同上	/	/	/	同上	同上
		020	Φ400管件安装(焊接)	个	219.696144505116	/	同上	/	/	/	同上	同上
		021	Φ500管件安装(焊接)	个	243.158839549352	/	同上	/	/	/	同上	同上
		022	Φ700管件安装(焊接)	个	356.206370217033	/	同上	/	/	/	同上	同上
		023	Φ800管件安装(焊接)	个	471.386873161463	/	同上	/	/	/	同上	同上
		024	Φ1000管件安装(焊接)	个	533.243069187175	/	同上	/	/	/	同上	同上
		025	Φ1200管件安装(焊接)	个	578.035486998898	/	同上	/	/	/	同上	同上
		026	Φ1400管件安装(焊接)	个	732.675977063179	/	同上	/	/	/	同上	同上
		027	Φ1600管件安装(焊接)	个	853.188910699481	/	同上	/	/	/	同上	同上
		028	Φ2000管件安装(焊接)	个	1001.43048393352	/	同上	/	/	/	同上	同上
		029	超声波探伤 公称直径(mm以内) 350mm以上	m	65.0556544408354	/	同上	/	/	/	按实际完成合格工程数量计量	贴片、检测、报告
		030	X光射线探伤 80mm×300mm	张	55.4572791954662	/	同上	/	/	/	按实际完成合格工程数量计量	贴片、检测、报告
		031	管道支架	t	2132.9722767487	/	同上	/	/	/	按实际完成合格工程数量计量	制作、防腐、安装
		032	管配件制作	t	3199.45841512305	/	同上	/	/	/	按实际完成合格工程数量计量	制作、防腐
	09		铸铁管铺设									
		001	Φ100铸铁管铺设	m	10.6648613837435	/	甲方提供铸铁管道及相应配件	/	/	/	按设计图纸计算	材料倒运、铺设管道、安装接口、阀门、短管、弯头、直通、三通、盲板、消火栓等全部工作内容
		002	Φ150铸铁管铺设	m	15.9972920756153	/	同上	/	/	/	同上	同上
		003	Φ200铸铁管铺设	m	21.329722767487	/	同上	/	/	/	同上	同上
		004	Φ300铸铁管铺设	m	26.6621534593588	/	同上	/	/	/	同上	同上
		005	Φ400铸铁管铺设	m	31.9945841512305	/	同上	/	/	/	同上	同上
		006	Φ600铸铁管铺设	m	42.659445534974	/	同上	/	/	/	同上	同上
		007	Φ800铸铁管铺设	m	47.9918762268458	/	同上	/	/	/	同上	同上
		008	Φ1000铸铁管铺设	m	58.6567376105893	/	同上	/	/	/	同上	同上
	10		塑料管道铺设									
		001	Φ100管道铺设	m	6.3989168302461	/	甲方提供管材、胶圈	/	/	/	按设计图纸计算	配管，锯管，煨弯，管口处理，接管，埋设，封管口
		002	Φ400管道铺设	m	15.9972920756153	/	同上	/	/	/	同上	同上
		003	Φ500管道铺设	m	21.329722767487	/	同上	/	/	/	同上	同上
		004	Φ600管道铺设	m	23.4626950442357	/	同上	/	/	/	同上	同上
		005	9格栅塑料管道铺设	m	8.53188910699481	/	除塑料管道及接头的全部费用	/	/	/	按设计图纸计算	沟槽基底清理，材料人工倒运，人工铺设，接口处理，绑扎等全部相关工作内容
		006	12格栅塑料管道铺设	m	11.7313475221179	/	同上	/	/	/	同上	同上
		007	24格栅塑料管道铺设	m	18.130264352364	/	同上	/	/	/	同上	同上
	11		Ⅲ级预应力砼企口管道铺设									
		001	Φ300管道铺设	m	21.329722767487	/	甲方提供管材、胶圈	/	/	/	按设计图纸计算	清扫基座、180°砂石基础、成品管场内外运输、铺管、橡胶圈接口等
		002	Φ400管道铺设	m	23.4626950442357	/	同上	/	/	/	同上	同上
		003	Φ500管道铺设	m	42.659445534974	/	同上	/	/	/	同上	同上
		004	Φ600管道铺设	m	57.5902514722149	/	同上	/	/	/	同上	同上
		005	Φ800管道铺设	m	79.9864603780763	/	同上	/	/	/	同上	同上
		006	Φ1000管道铺设	m	101.316183145563	/	同上	/	/	/	同上	同上
	12		玻璃钢夹砂管铺设									
		001	Φ1000管道铺设	m	53.3243069187175	/	甲方提供双壁波纹管、砂、接头	/	/	/	按设计图纸计算	清扫基座、成品管场内运输、铺砂垫层、安装、接口等全部工作内容
		002	Φ1200管道铺设	m	63.9891683024611	/	同上	/	/	/	同上	同上
		003	Φ1400管道铺设	m	74.6540296862045	/	同上	/	/	/	同上	同上
		004	Φ1600管道铺设	m	85.3188910699481	/	同上	/	/	/	同上	同上
		005	Φ1800管道铺设	m	101.316183145563	/	同上	/	/	/	同上	同上
		006	Φ2000管道铺设	m	117.313475221179	/	同上	/	/	/	同上	同上
		007	Φ2800管道铺设	m	149.308059372409	/	同上	/	/	/	同上	同上
	13		镀锌钢管铺设									
		001	Φ25管道铺设	m	4.2659445534974	/	甲方提供钢管	/	/	/	按设计图纸计算	场内运输，敷设
		002	Φ32管道铺设	m	7.46540296862045	/	甲方提供钢管	/	/	/	按设计图纸计算	场内运输，敷设
		003	Φ40管道铺设	m	11.7313475221179	/	甲方提供钢管	/	/	/	按设计图纸计算	场内运输，敷设
		004	Φ50管道铺设	m	12.7978336604922	/	甲方提供钢管	/	/	/	按设计图纸计算	场内运输，敷设
		005	Φ70管道铺设	m	13.8643197988666	/	甲方提供钢管	/	/	/	按设计图纸计算	场内运输，敷设
		006	Φ80管道铺设	m	25.5956673209844	/	甲方提供钢管	/	/	/	按设计图纸计算	场内运输，敷设
		007	Φ100管道铺设	m	26.6621534593588	/	甲方提供钢管	/	/	/	按设计图纸计算	场内运输，敷设
	14		顶管									
		001	Φ800泥水平衡钢筋砼管道顶进	m	799.864603780763	/	甲方提供钢筋砼管材料费、泥浆	/	/	/	按管道实际顶进长度计算	顶管设备安拆、下管及对接管、管道外表面涂蜡、管道顶进及纠偏、管道注浆减阻及置换、管缝处理、管道堵头封堵及拆除、管道抹口及清扫、工作井及接收井洞口止水处理、中继间安装及千斤顶拆除 、后靠背安装及拆除、顶管保护、顶进过程中的质量事故的处理等
		002	Φ1000泥水平衡钢筋砼管道顶进	m	906.513217618198	/	同上	/	/	/	同上	同上
		003	Φ1200泥水平衡钢筋砼管道顶进	m	959.837524536916	/	同上	/	/	/	同上	同上
		004	Φ1350泥水平衡钢筋砼管道顶进	m	1013.16183145563	/	同上	/	/	/	同上	同上
		005	Φ1500泥水平衡钢筋砼管道顶进	m	1119.81044529307	/	同上	/	/	/	同上	同上
		006	Φ1650泥水平衡钢筋砼管道顶进	m	1226.4590591305	/	同上	/	/	/	同上	同上
		007	Φ1800泥水平衡钢筋砼管道顶进	m	1333.10767296794	/	同上	/	/	/	同上	同上
		008	Φ2000泥水平衡钢筋砼管道顶进	m	1599.72920756153	/	同上	/	/	/	同上	同上
		009	Φ1500泥水平衡钢管顶进	m	1599.72920756153	/	同上	/	/	/	同上	同上
	15		拉管									
		001	DN100实壁PE管定向钻牵引拉管	m	266.621534593588	/	甲方提供管材	/	/	/	按实际拉管长度计算	管道场内运输、钻孔、拉管
		002	DN200实壁PE管定向钻牵引拉管	m	319.945841512305	/	同上	/	/	/	同上	同上
		003	DN300实壁PE管定向钻牵引拉管	m	373.270148431023	/	同上	/	/	/	同上	同上
		004	DN400实壁PE管定向钻牵引拉管	m	490.583623652201	/	同上	/	/	/	同上	同上
		005	DN500实壁PE管定向钻牵引拉管	m	618.561960257124	/	同上	/	/	/	同上	同上
		006	DN600实壁PE管定向钻牵引拉管	m	746.540296862045	/	同上	/	/	/	同上	同上
		007	DN700实壁PE管定向钻牵引拉管	m	906.513217618198	/	同上	/	/	/	同上	同上
		008	DN800实壁PE管定向钻牵引拉管	m	1066.48613837435	/	同上	/	/	/	同上	同上
	16		沉井									
		001	沉井下沉挖土方	m3	30.0	/	/	/	/	/	按设计方量计算	挖土下沉至设计要求
		002	沉井刃脚砂石料垫层	m3	15.9972920756153	/	甲方提供砂石料	/	/	/	以压实体积计算	砂石料铺设、整平、压实
		003	沉井刃脚基础砼垫层	m3	35.0	/	甲方提供砼、损耗率1%以内	/	/	/	按设计图纸计算	混凝土浇筑、养护
		004	沉井水下封底砼浇筑	m3	85.0	/	甲方提供砼、损耗率1%以内	/	/	/	按实际完成合格工程量计量	平台搭设、导管就位、浇筑、振捣、养生
		005	沉井刃脚、隔墙、井壁、底板钢筋	t	650.0	/	甲方提供钢筋、损耗率1%以内	/	/	/	按照设计图纸计算，接头不计	钢筋的卸料、保管、制作、焊接、场内运输、安装
		006	沉井刃脚、隔墙、井壁、底板模板	m2	50.0	/	甲方提供模板	/	/	/	按照与砼的接触面积计算	制作、安装、拆除、刷隔离剂、模板及支撑材料租赁运输及从加工场运至工地使用地点、清洁模板，现场指定堆放整齐、完工后清理场地
		007	沉井刃脚、隔墙、井壁、底板商品砼	m3	50.0	/	甲方提供砼、损耗率1%以内	/	/	/	按设计图纸计算	浇筑、振捣、养护及施工缝处理配合砼车支设泵车、找平、压光、余渣清理、现场清扫，脚手架、防护围栏搭设、拆除
四			桥涵工程									
	01		管桩									
		001	打入预应力管桩（直径0.5m）	m	20.0	/	甲方提供管桩	/	/	甲方负责提供便道和场地；甲方负责电接至施工现场配电柜处；甲方提供安全等标识标牌；甲方负责控制测量、试验、检测，但乙方须人工、机械配合	按设计图示桩顶至桩底的长度计算	机械进、出场、配合进场机械报验、机械转场、铺道板、机械就位、调试、配合管桩卸料下车，按要求堆放、桩位标记、试桩、管桩刻度标记、桩靴焊接、喂桩、管桩打入、管桩接头焊接、送桩、控制管桩桩位、垂直度和标高、洞口防护等与管桩施工有关的全部工作内容
		002	静压预应力管桩（直径0.5m）	m	22.0	/	甲方提供管桩	/	/		按设计图示桩顶至桩底的长度计算	机械进、出场、配合进场机械报验、机械转场、铺道板、机械就位、调试、配合管桩卸料下车，按要求堆放、桩位标记、试桩、管桩刻度标记、桩靴焊接、喂桩、管桩压入、管桩接头焊接、送桩、控制管桩桩位、垂直度和标高、洞口防护等与管桩施工有关的全部工作内容
		003	打入预应力管桩（直径0.6m）	m	23.0	/	甲方提供管桩	/	/		按实际完成米数计算	机械进出场、铺道板、移机、就位、吊机卸桩、吊机喂桩、打设、焊接、防风遮挡设施等为完成配套管桩施工的所有工作内容
		004	静压预应力管桩（直径0.6m）	m	25.0	/	甲方提供管桩	/	/		按实际完成米数计算	机械进、出场、配合进场机械报验、机械转场、铺道板、机械就位、调试、配合管桩卸料下车，按要求堆放、桩位标记、试桩、管桩刻度标记、桩靴焊接、喂桩、管桩打入、管桩接头焊接、送桩、控制管桩桩位、垂直度和标高、洞口防护等与管桩施工有关的全部工作内容。
	02		桩基									
		001	钻孔桩钢筋制作、运输	t	450.0	/	甲方提供钢筋、损耗率1%以内	/	行吊	甲方负责负责泥浆外运、凿桩头；甲方负责电接至施工现场配电柜处；甲方提供施工主便道；甲方提供安全等标识标牌；甲方负责控制测量、试验、检测，但乙方须人工、机械配合	按设计图纸的净长、规格换算的重量进行计量，所有搭接、下脚料、定位钢筋均不予计量	卸车存放、清除油渍、漆污、调直、除锈、切断、弯曲、捆束、堆放、焊接及绑扎；划线、配料、绑扎、检查、校正；工地内运输等全部工作内容
		002	声测管制作、运输	m	1.0	/	甲方提供声测管	/			声测管按桩基设计长度乘以声测管根数计	制作安装U型筋，安装声测管等全部工作内容
		003	φ1.0m回旋钻孔桩	m3 /m	178/140	/	甲方提供砼、损耗率7%以内	/	/		桩长按图纸设计长度计算	钻机进出场，场地平整，准备机具，挖泥浆池，埋设钢护筒，设置泥浆循环系统，造浆、钻机就位、开钻、钻进，清孔、下钢筋笼（含孔口焊接），搭拆灌注平台，灌注水下砼，成孔后钻机移位，原始钻孔桩灌注记录等全部工作内容
		004	φ1.25m回旋钻孔桩	m3 /m	155/190	/	甲方提供砼、损耗率7%以内	/	/		桩长按图纸设计长度计算	钻机进出场，场地平整，准备机具，挖泥浆池，埋设钢护筒，设置泥浆循环系统，造浆、钻机就位、开钻、钻进，清孔、下钢筋笼（含孔口焊接），搭拆灌注平台，灌注水下砼，成孔后钻机移位，原始钻孔桩灌注记录等全部工作内容
		005	φ1.5m回旋钻孔桩	m3 /m	136/240	/	甲方提供砼、损耗率7%以内	/	/		桩长按图纸设计长度计算	钻机进出场，场地平整，准备机具，挖泥浆池，埋设钢护筒，设置泥浆循环系统，造浆、钻机就位、开钻、钻进，清孔、下钢筋笼（含孔口焊接），搭拆灌注平台，灌注水下砼，成孔后钻机移位，原始钻孔桩灌注记录等全部工作内容
		006	φ1.8m回旋钻孔桩	m3 /m	126/320	/	甲方提供砼、损耗率7%以内	/	/		桩长按图纸设计长度计算	钻机进出场，场地平整，准备机具，挖泥浆池，埋设钢护筒，设置泥浆循环系统，造浆、钻机就位、开钻、钻进，清孔、下钢筋笼（含孔口焊接），搭拆灌注平台，灌注水下砼，成孔后钻机移位，原始钻孔桩灌注记录等全部工作内容
		007	φ2.0m回旋钻孔桩	m3 /m	127/400	/	甲方提供砼、损耗率7%以内	/	/		桩长按图纸设计长度计算	钻机进出场，设置泥浆循环系统，造浆、钻机就位、开钻、钻进，清孔、下钢筋笼（含孔口焊接），搭拆灌注平台，灌注水下砼，成孔后钻机移位，原始钻孔桩灌注记录等全部工作内容
		008	φ80cm旋挖钻孔桩（综合）	m3 /m	238/120	/	甲方提供砼、损耗率5%以内	/	/		桩长按图纸设计长度计算	陆上准备机具，设置泥浆循环系统，造浆、钻机就位、开钻、钻进，清孔、钢筋笼吊装(含孔口连接)，搭拆灌注平台，灌注水下砼，成孔后钻机移位，原始钻孔桩灌注记录，以及渣土堆置等全部工作内容
		009	φ1.0m旋挖钻成孔桩（综合）	m3 /m	203/160	/	甲方提供砼、损耗率5%以内	/	/		桩长按图纸设计长度计算	陆上准备机具，设置泥浆循环系统，造浆、钻机就位、开钻、钻进，清孔、钢筋笼吊装(含孔口连接)，搭拆灌注平台，灌注水下砼，成孔后钻机移位，原始钻孔桩灌注记录，以及渣土堆置等全部工作内容
		010	φ1.25m旋挖钻成桩（综合）	m3 /m	163/200	/	甲方提供砼、损耗率5%以内	/	/		桩长按图纸设计长度计算	陆上准备机具，设置泥浆循环系统，造浆、钻机就位、开钻、钻进，清孔、钢筋笼吊装(含孔口连接)，搭拆灌注平台，灌注水下砼，成孔后钻机移位，原始钻孔桩灌注记录，以及渣土堆置等全部工作内容
		011	φ1.5m旋挖钻成桩（综合）	m3 /m	147/260	/	甲方提供砼、损耗率5%以内	/	/		桩长按图纸设计长度计算	陆上准备机具，设置泥浆循环系统，造浆、钻机就位、开钻、钻进，清孔、钢筋笼吊装(含孔口连接)，搭拆灌注平台，灌注水下砼，成孔后钻机移位，原始钻孔桩灌注记录，以及渣土堆置等全部工作内容
		012	φ1.8m旋挖钻成桩（综合）	m3 /m	133/340	/	甲方提供砼、损耗率5%以内	/	/		桩长按图纸设计长度计算	陆上准备机具，设置泥浆循环系统，造浆、钻机就位、开钻、钻进，清孔、钢筋笼吊装(含孔口连接)，搭拆灌注平台，灌注水下砼，成孔后钻机移位，原始钻孔桩灌注记录，以及渣土堆置等全部工作内容
		013	φ2.0m旋挖钻成桩（综合）	m3 /m	133/420	/	甲方提供砼、损耗率5%以内	/	/		桩长按图纸设计长度计算	陆上准备机具，设置泥浆循环系统，造浆、钻机就位、开钻、钻进，清孔、钢筋笼吊装（含孔口焊接），搭拆灌注平台，灌注水下砼，成孔后钻机移位，原始钻孔桩灌注记录，以及渣土堆置等全部工作内容
		014	φ1.0冲击钻成桩（土层、砂砾、砾石）	m3 /m	250/196	/	甲方提供砼、损耗率10%以内	/	/		桩长按图纸设计长度计算	临时支撑措施；设置泥浆循环系统、造浆；装、拆、移钻机，制作、埋设护筒，钻架就位、安装钻头及钻具、冲孔、提钻、出渣、加水、加粘土、清孔、量孔深等成孔全过程，安装钢筋笼，搭拆灌注平台，安、拆导管及漏斗，浇注混凝土等全部工作内容
		015	φ1.0冲击钻成桩（软石、次坚石）	m3 /m	450/353	/	甲方提供砼、损耗率10%以内	/	/		桩长按图纸设计长度计算	临时支撑措施；设置泥浆循环系统、造浆；装、拆、移钻机，制作、埋设护筒，钻架就位、安装钻头及钻具、冲孔、提钻、出渣、加水、加粘土、清孔、量孔深等成孔全过程，安装钢筋笼，搭拆灌注平台，安、拆导管及漏斗，浇注混凝土等全部工作内容
		016	φ1.25冲击钻成桩（土层、砂砾、砾石）	m3 /m	230/282	/	甲方提供砼、损耗率10%以内	/	/		桩长按图纸设计长度计算	临时支撑措施；设置泥浆循环系统、造浆；装、拆、移钻机，制作、埋设护筒，钻架就位、安装钻头及钻具、冲孔、提钻、出渣、加水、加粘土、清孔、量孔深等成孔全过程，安装钢筋笼，搭拆灌注平台，安、拆导管及漏斗，浇注混凝土等全部工作内容
		017	φ1.25冲击钻成桩（软石、次坚石）	m3 /m	410/503	/	甲方提供砼、损耗率10%以内	/	/		桩长按图纸设计长度计算	临时支撑措施；设置泥浆循环系统、造浆；装、拆、移钻机，制作、埋设护筒，钻架就位、安装钻头及钻具、冲孔、提钻、出渣、加水、加粘土、清孔、量孔深等成孔全过程，安装钢筋笼，搭拆灌注平台，安、拆导管及漏斗，浇注混凝土等全部工作内容
		018	φ1.5冲击钻成桩（土层、砂砾、砾石）	m3 /m	200/353	/	甲方提供砼、损耗率10%以内	/	/		桩长按图纸设计长度计算	临时支撑措施；设置泥浆循环系统、造浆；装、拆、移钻机，制作、埋设护筒，钻架就位、安装钻头及钻具、冲孔、提钻、出渣、加水、加粘土、清孔、量孔深等成孔全过程，安装钢筋笼，搭拆灌注平台，安、拆导管及漏斗，浇注混凝土等全部工作内容
		019	φ1.5冲击钻成桩（软石、次坚石）	m3 /m	400/706	/	甲方提供砼、损耗率10%以内	/	/		桩长按图纸设计长度计算	临时支撑措施；设置泥浆循环系统、造浆；装、拆、移钻机，制作、埋设护筒，钻架就位、安装钻头及钻具、冲孔、提钻、出渣、加水、加粘土、清孔、量孔深等成孔全过程，安装钢筋笼，搭拆灌注平台，安、拆导管及漏斗，浇注混凝土等全部工作内容
		020	φ1.8冲击钻成桩（土层、砂砾、砾石）	m3	180/458	/	甲方提供砼、损耗率10%以内	/	/		桩长按图纸设计长度计算	临时支撑措施；设置泥浆循环系统、造浆；装、拆、移钻机，制作、埋设护筒，钻架就位、安装钻头及钻具、冲孔、提钻、出渣、加水、加粘土、清孔、量孔深等成孔全过程，安装钢筋笼，搭拆灌注平台，安、拆导管及漏斗，浇注混凝土等全部工作内容
		021	φ1.8冲击钻成桩（软石、次坚石）	m3	400/1017	/	甲方提供砼、损耗率10%以内	/	/		桩长按图纸设计长度计算	临时支撑措施；设置泥浆循环系统、造浆；装、拆、移钻机，制作、埋设护筒，钻架就位、安装钻头及钻具、冲孔、提钻、出渣、加水、加粘土、清孔、量孔深等成孔全过程，安装钢筋笼，搭拆灌注平台，安、拆导管及漏斗，浇注混凝土等全部工作内容
		022	φ2.0冲击钻成桩（土层、砂砾、砾石）	m3	190/596	/	甲方提供砼、损耗率10%以内	/	/		桩长按图纸设计长度计算	临时支撑措施；设置泥浆循环系统、造浆；装、拆、移钻机，制作、埋设护筒，钻架就位、安装钻头及钻具、冲孔、提钻、出渣、加水、加粘土、清孔、量孔深等成孔全过程，安装钢筋笼，搭拆灌注平台，安、拆导管及漏斗，浇注混凝土等全部工作内容
		023	φ2.0冲击钻成桩（软石、次坚石）	m3	400/1256	/	甲方提供砼、损耗率10%以内	/	/		桩长按图纸设计长度计算	临时支撑措施；设置泥浆循环系统、造浆；装、拆、移钻机，制作、埋设护筒，钻架就位、安装钻头及钻具、冲孔、提钻、出渣、加水、加粘土、清孔、量孔深等成孔全过程，安装钢筋笼，搭拆灌注平台，安、拆导管及漏斗，浇注混凝土等全部工作内容
		024	挖孔桩(土层)	m3	180.0	/	甲方提供钢筋笼、砼、损耗率1%以内；护壁材料甲方不提供	/	/		按照原地面至桩底的长度和桩径尺寸计算	人力（机械）开挖，卷扬机提运，支撑及防护，修整桩孔，孔口外50米以内运输，通风机及照明管路铺拆，护壁施工、灌注砼等全部工作内容
		025	挖孔桩(岩层)	m3	320.0	/	甲方提供钢筋笼、砼、损耗率1%以内；代购火工材料；护壁材料甲方不提供	/	/		按照原地面至桩底的长度和桩径尺寸计算	人力（机械）及爆破开挖，卷扬机提运，支撑及防护，修整桩孔，孔口外50米以内运输，通风机及照明管路铺拆，护壁施工、灌注砼等全部工作内容
	03		桩头破除、围堰、钢护筒									
		001	桩头破除（φ1m）	个	140.0	/	/	/	/	甲方负责电接至施工现场配电柜处。	按设计图示尺寸以个计算	桩头凿除、运输、处置等全部工作内容
		002	桩头破除（φ1.25m）	个	200.0	/	/	/	/		按设计图示尺寸以个计算	桩头凿除、运输、处置等全部工作内容
		003	桩头破除（φ1.5m）	个	280.0	/	/	/	/		按设计图示尺寸以个计算	桩头凿除、运输、处置等全部工作内容
		004	桩头破除（φ1.8m）	个	340.0	/	/	/	/		按设计图示尺寸以个计算	桩头凿除、运输、处置等全部工作内容
		005	桩头破除（φ2.0m）	个	430.0	/	/	/	/		按设计图示尺寸以个计算	桩头凿除、运输、处置等全部工作内容
		006	陆上钢板桩围堰打、拔	t	480.0	/	甲方提供钢板桩	/	/		根据现场实测以t计量	组拼、捻缝、铺隔离层、吊桩、安卸桩帽、打桩、校正，拨桩、吊放、堆码解体存放等全部工作内容
		007	陆上拉森钢板桩围堰打、拔	t	700.0	/	甲方提供钢板桩	/	/		根据现场实测以t计量	组拼、捻缝、铺隔离层、吊桩、安卸桩帽、打桩、校正，拨桩、吊放、堆码解体存放等全部工作内容
		008	钢平台制作安装	t	700.0	/	甲方提供钢材	/	/		按实际安装数量计量	钢管桩配置、吊装卸车、打入、焊接、切割、桩间整体连接，型钢扣配梁制、运、安装，贝雷梁拼装、运、安装，桥面板下料、制作、运输、安装，桥面路缘型钢制作、安装、运输，桥面钢栏杆制作、安装、运输，除锈、油漆三度，工地内照明及动力线路安拆、钢栈桥施工期间维护、拆除等全部工作内容
		009	钢平台拆除	t	380.0	/	/	/	/		按实际重量计	平台钢结拆除，钢管拔出，拆除材料倒运及卸车，材料堆放整齐等全部工作内容
		010	双壁钢围堰制作、安装、拆除	t	1500.0	/	甲方提供钢材	/	/		按实际重量计	加工、制作、拼装、下沉、浮运、定位、下水、下沉、基底清理、壁内填充砼、围堰内抽水、拆除等全部工作内容
		011	长钢护筒加工	t	600.0	/	甲方提供钢材	/	/		按实际重量计	下料、制作、焊接、运输至现场等全部工作内容
		012	长钢护筒二次加工	t	350.0	/	甲方提供钢材	/	/		按实际重量计	下料、制作、焊接、运输至现场等全部工作内容
		013	长钢护筒打入	t	500.0	/	/	/	/		按实际重量计	放线、定位、吊插、震动下沉等全部工作内容
		014	长钢护筒拔出	t	300.0	/	/	/	/		按实际重量计	震动、拔出、切割、堆码等全部工作内容
	04		下部结构									
		001	基坑开挖土方	m³	8.0	/	/	/	/	甲方负责电接至施工现场配电柜处；甲方提供钢筋加工场地（含行吊）；甲方提供施工主便道；甲方提供安全等标识标牌；甲方负责控制测量、试验、检测，但乙方须人工、机械配合	按设计方量计算	挖掘机挖装土并运至基坑口、支护、抽水、人工修整边坡及基坑底面等全部工作内容
		002	基坑回填土方	m³	6.0	/	/	/	/		按设计方量计算	机械或人力挖装普通土回填基坑、铺平、分层夯实等全部工作内容
		003	承台钢筋加工及安装	t	500.0	/	甲方提供钢筋、损耗率1%以内	/	/		按图纸尺寸计算，不含搭接	钢筋加工、运输，现场部分的焊接、安装
		004	垫层砼	m3	40.0	/	甲方提供砼，损耗率1%以内	/	/		按设计方量计算	基坑清理、抽水、垫层浇注、模板支护、加固、浇注、养护等全部工作内容
		005	承台、柱系梁混凝土	m³	100.0	/	甲方提供砼，损耗率1%以内	模板	/		按设计方量计算	基坑清理、抽水、垫层浇注、模板支护、加固、浇注、养护
		006	墩柱、系梁钢筋加工及安装	t	550.0	/	甲方提供钢筋、损耗率1%以内	/	/		按设计图示尺寸以质量计算，搭接长度不计	钢筋按图纸下料、制作，焊接、绑扎并经验收合格
		007	中系梁、实心墩柱混凝土H≤15m	m³	230.0	/	甲方提供砼，损耗率1%以内	模板	/		按设计图示尺寸以体积计算	简易脚手架搭拆、模板安拆、砼浇筑、养护，接缝处理等
		008	中系梁、实心墩柱混凝土H>15m	m³	250.0	/	甲方提供砼，损耗率1%以内	模板	/		按设计图示尺寸以体积计算	简易脚手架搭拆、模板安拆、砼浇筑、养护，接缝处理等
