铁路工程劳务分包/专业分包指导价												
项	序号	编号	细目名称	单位	指导价（元）		费用组成（采用反向描述的方式，列举出所有甲方承担的费用，除此以外的全部费用由乙方承担，费用包含在单价中）				计量规则	工作内容
					单价	调价	甲方提供材料及限额损耗率	甲方提供的周转材料	甲方提供的机械、设备费	施工措施等其它费用		
一			路基工程									
		015	复合土工膜	m2	0.8	/	甲方提供复合土工膜，损耗率1%	/	/		按设计图示铺设面积计算	基底清理整平；锚固沟挖填；复合土工膜铺设等全部工作内容
		016	堆载预压1km内	m3	7.0	柴油0.4kg	/	/	/		按照设计图示尺寸计算	挖排水沟，挖运1KM以内、推平、填筑堆载土方，过程修整，清理工作面等全部工作内容
		017	预压土卸载1km内	m3	6.0	柴油0.35kg	/	/	/		按照现场实际完成合格工程量计算	预压期满后将土方挖、装、运外弃（运距1km内），弃土场整理，土工布清理，面层整平碾压，过程修整，清理工作面等全部工作内容
		018	A、B类填料	m3	5.0	/	提供A、B料至现场	/	/		按设计图示压实断面方计算	拌合、分层摊铺、平整、洒水、压实、路基及边坡修整、路基成型、施工防排水等全部工作内容
	04		路基附属									
		001	框架锚杆施工	m	70.0	/	甲方提供锚杆、损耗率1%以内；灌浆材料	/	/	甲方提供施工主便道；甲方提供安全等标识标牌；甲方负责控制测量、试验、检测，但乙方须人工、机械配合	按照实际施工长度计算	搭、拆脚手架及平台，钻孔、灌浆、安装锚杆，封锚等全部工作内容
		002	框架梁砼	m3	450.0	/	甲方提供砼、损耗率1%以内	/	/		按照设计图示尺寸计算	备料,施作找平层，挖槽，模板及支撑制安、拆，砼水平及垂直内运输、浇注、捣固、养护等全部工作内容
		003	框架梁钢筋制安	t	550.0	/	甲方提供钢筋、损耗率1%以内	/	/		按设计或变更设计图纸的净长、规格换算的重量进行计量，所有搭接、下脚料、定位钢筋、预埋件及冷却管均不予计量。钢筋边脚料所有权归甲方。	钢筋去污除锈、制作、绑扎、焊接并经验收合格,制作安装保护层水泥垫块等全部工作内容
		004	预应力锚索φ≤49mm	m	35.0	/	甲方提供锚索、锚具，损耗率0%；混凝土，损耗率1%	/	/		按设计图示尺寸以米计算	脚手架搭拆；钻孔、清孔；锚索、锚具制安；砂浆配料(含外加剂)、拌制、锚固段注浆；锚墩混凝土浇筑；锚索张拉，张拉段注浆，锚头封闭防护；防腐处理等全部工作内容
		005	预应力锚索49＜φ＜130mm	m	85.0	/	甲方提供锚索、锚具，损耗率0%；混凝土，损耗率1%	/	/		按设计图示尺寸以米计算	脚手架搭拆；钻孔、清孔；锚索、锚具制安；砂浆配料(含外加剂)、拌制、锚固段注浆；锚墩混凝土浇筑；锚索张拉，张拉段注浆，锚头封闭防护；防腐处理等全部工作内容
		006	预应力锚索φ≥130mm	m	130.0	/	甲方提供锚索、锚具，损耗率0%；混凝土，损耗率1%	/	/		按设计图示尺寸以米计算	脚手架搭拆；钻孔、清孔；锚索、锚具制安；砂浆配料(含外加剂)、拌制、锚固段注浆；锚墩混凝土浇筑；锚索张拉，张拉段注浆，锚头封闭防护；防腐处理等全部工作内容
		007	桩板墙预制板预制	m3	180.0	/	甲方提供砼、损耗率1%以内	/	/		按照设计图示尺寸计算	模具安装、拆除、维护，砼浇注、振动、养护，成品堆码等全部工作内容
		008	预制板钢筋制安	t	500.0	/	甲方提供钢筋、损耗率1%以内	/	/		按实际安设的钢筋长度计算，搭接长度不计	清除油渍、漆污、调直、除锈、切断、弯曲、捆束、堆放、焊接及绑接；划线、配料、绑扎、检查、校正；工地内运输等全部工作内容
		009	桩板墙预制板运输安装	m3	120.0	/	/	/	/		按照设计图示尺寸计算	构件运输至现场，安装场地整理，铺装，勾缝等全部工作内容
		010	锚固桩人工挖孔（土层）	m3	180.0	/	甲方提供钢筋、砼、损耗率1%以内；护壁材料甲方不提供	/	/		按技术交底尺寸计算	装、拆、移绞车，人工开挖土层及人工配合风镐开挖岩层，渣土垂直运输、出渣、成孔并量测孔深；制安拆护壁模板、人工运料、机械拌制护壁砼、护壁砼运送、浇注、养护、护壁钢筋制作绑扎以及制作防护用井盖及护栏,破除护壁混凝土，桩身灌注砼等全部工作内容，弃渣场内倒运等全部工作内容
		011	锚固桩人工挖孔（岩层）	m3	300.0	/	甲方提供钢筋、砼、损耗率1%以内，代购火工材料；护壁材料甲方不提供	/	/		按技术交底尺寸计算	装、拆、移绞车，人工开挖土层及人工配合风镐开挖岩层，渣土垂直运输、出渣、成孔并量测孔深；制安拆护壁模板、人工运料、机械拌制护壁砼、护壁砼运送、浇注、养护、护壁钢筋制作绑扎以及制作防护用井盖及护栏,破除护壁混凝土，桩身灌注砼等全部工作内容，弃渣场内倒运等全部工作内容
		012	锚固桩桩身钢筋制安	t	500.0	/	甲方提供钢筋、损耗率1%以内	/	/		按设计量计算	清除油渍、漆污、调直、除锈、切断、弯曲、捆束、堆放、焊接及绑接；划线、配料、绑扎、检查、校正等全部工作内容
