供水管顶管/顶进涵工程 — 报价汇总表,Unnamed: 1,Unnamed: 2,Unnamed: 3
价格基准：新疆地区2025工程造价信息价 + 市场询价 | 价格有效期：30天,,,
,,,
序号,费用项目,金额（元）,备注
1,分部分项工程费,8750112.67,详见分部分项报价明细表
1.1,  2# 穿G7 箱涵顶管工程,1692232.2,高速公路，桥涵长118.2m，顶管94m
1.2,  3# 穿Y063 圆管顶管工程,6643527.24,三级公路，套管长42.4m，顶管28m
1.3,  4# 穿G335 箱涵顶管工程,17085872.11,二级公路，桥涵长62.2m，顶管38m
2,措施项目费,1366869.7688,8% × 分部分项工程费
3,其他项目费（暂列金）,854293.6055,5% × 分部分项工程费
4,规费,1196011.0477,7% × 分部分项工程费
5,税金（增值税9%）,1845274.18788,9% × (1+2+3+4)
,合  计,22348320.71988,
