分部分项合计,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
项目,8750112.67,1692232.2,6643527.24,人工合计,材料合计,机械合计,8750112.67
,,,,,,,1692232.2
,,,,,,,6643527.24
