K248+500控制点,,5271592.77800,492713.81300,2116.49000
248道班房红线-1,,5271565.93200,492701.88500,2111.90000
248道班房红线-2,,5271464.12400,492756.00800,2112.90000
248道班房红线-3,,5271422.97100,492678.59700,2113.10000
248道班房红线-4,,5271524.80000,492624.51300,2112.80000
248道班1#综-1,,5271532.86700,492695.39700,2113.10000
248道班1#综-2,,5271468.49700,492729.61700,2113.10000
248道班1#综-3,,5271461.87900,492717.16700,2113.10000
248道班1#综-4,,5271526.24800,492682.94700,2113.10000
248道班2#机-1,,5271524.23200,492655.86900,2112.80000
248道班2#机-2,,5271495.88800,492670.93700,2112.80000
248道班2#机-3,,5271488.28400,492656.63300,2112.80000
248道班2#机-4,,5271516.62800,492641.56500,2112.80000
248道班3#设-1,,5271482.68000,492668.33200,2113.10000
248道班3#设-2,,5271457.25000,492681.85100,2113.10000
248道班3#设-3,,5271453.63600,492675.05200,2113.10000
248道班3#设-4,,5271479.06600,492661.53300,2113.10000
248道班4#垃圾-1,,5271449.05600,492686.20700,2113.30000
248道班4#垃圾-2,,5271443.54600,492689.13700,2113.30000
248道班4#垃圾-3,,5271439.93200,492682.33800,2113.30000
248道班4#垃圾-4,,5271445.44100,492679.40900,2113.30000
284道班1#综-1,,5283932.12800,471224.98300,1698.20000
284道班1#综-2,,5283925.12000,471297.54500,1698.20000
284道班1#综-3,,5283911.48300,471296.22800,1698.20000
284道班1#综-4,,5283918.49200,471223.66600,1698.20000
base_1,,5207499.53325,528137.09158,1368.42609
base_2,,5265658.39426,489375.91555,2140.57388
284道班控制点-1,,5283955.37500,471326.05600,1700.16600
284道班4#垃-1,,5283917.95200,471309.35100,1699.00000
284道班4#垃-2,,5283917.35200,471315.56200,1699.00000
284道班4#垃-3,,5283909.68800,471314.82200,1699.00000
284道班4#垃-4,,5283910.28800,471308.61100,1699.00000
base_3,,5263725.62743,404976.79728,604.82021
284道班3#设-1,,5283930.98600,471174.39900,1696.20000
284道班3#设-2,,5283928.21700,471203.06600,1696.20000
284道班3#设-3,,5283920.55300,471202.32500,1696.20000
284道班3#设-4,,5283923.32100,471173.65900,1696.20000
284道班2#机-1,,5283939.36000,471130.43500,1695.60000
284道班2#机-2,,5283936.27500,471162.38600,1695.60000
284道班2#机-3,,5283920.15000,471160.82900,1695.60000
284道班2#机-4,,5283923.23500,471128.87700,1695.60000
284道班红线-1,,5283964.57900,471026.03900,1691.60000
284道班红线-2,,5283934.97500,471332.55500,1699.00000
284道班红线-3,,5283897.90000,471332.23400,1699.00000
284道班红线-4,,5283924.24600,471024.54500,1691.70000
